Contractor,Woodside,Santos,Chevron,Inpex,Shell,Jadestone,BW Offshore,MODEC,Esso (Bass Strait → Woodside),Aus Govt (N. Endeavour)
Altrad,,,H,,,,,,,
Altrad Sparrows,,,H,,,,,,,
AOS,M,L,,,,,,,,
Applus+,H,,,,,,,,,
Atlas Professionals,M,,,,H,,,,,
Auriga Aviation,,,,,,,,,,
Baker Hughes,,,H,H,,,,,,
Bhagwan Marine,M,M,H,,,H,,,,M
Boskalis,H,,,,,,,,,
CHC,M,,,,L,M,,,,
Condex,,,,,,,,,H,
Cyan,H,,H,H,,,,,,
DOF,H,,M,,M,L,,,H,
Enemech,H,,,H,L,,,,M,
Entier,,,,,,,,,,
Eris (Kuiper),M,M,M,M,M,,,,,
ESS,H,,H,H,M,,,,,
Fugro,H,M,L,,,,,,,
GGC,L,,L,L,,,,,,
Go Offshore,H,H,M,H,M,,,,M,
GR Production Services,,,,H,,,,,,
Heerema,M,,,H,,,,,,
Hjelix,L,,,,,,,,H,
IAS,M,,M,,,,,,,
Kaefer (ISOLOGIC),,M,,M,,,,,,
Legeneering,H,,M,,,,,M,,
Lifeflight,,,,,,,,,,
McDermott,H,H,,M,H,,,,,
MEA,H,,H,,M,,,,,H
Monadelphous,H,,L,H,H,,H,,,M
Noble,H,H,H,H,,,,,,
Oceaneering,L,,L,,L,,,,,
OSA,,H,M,,,L,,,,
OSM,M,,,,,,,,,
Parabellum,,,M,L,L,,,,,
Petrofac,,,,,,,,,,H
PHI,H,,,H,H,,,,,
Programmed,L,,,,M,,,,,
Reach,H,,,,,,,,,
SEA1 Offshore (ex-Siem),L,,,,,,,,,
SGS,,,,,H,,,,,
Sierra,M,,,,,,,,,
Sodexo,,H,,,H,,,,L,
Solstad Australia,M,L,L,M,L,,,,,
Technip Energies / TechnipFMC,H,,,,H,,,,,
Tidewater,,,,,,,,,,
TMT,,,,,,,,,,
Transocean (sedco forex),H,H,,,M,,,,,
UGL,L,M,M,,,,,,M,
UPS,,,,,,,,,,H
Valaris (Ensco,H,H,,,,H,,,H,
vertech,H,M,M,H,,M,,M,,
Weststar-GAP,,H,,,,,,,,
Wood,H,,,,,,M,,H,
WPF(Duratech),,H,,,,M,,,,
,,,,,,,,,,
LEGEND,,,,,,,,,,
H = High-confidence offshore linkage (documented contract/EA),   ,,,,,,,,,
M = Medium (company/industry evidence; facility or currency unconfirmed),   ,,,,,,,,,
L = Low / inferred / historic-only,   ,,,,,,,,,
,,,,,,,,,,
Light-blue names = the 16 added employers. Derived from the linkages tab. Esso/Bass Strait shown separately because Woodside only took operatorship on 1 Jul 2026; 'Aus Govt' = Northern Endeavour decommissioning. Blank = no offshore linkage found.,,,,,,,,,,
