Scope of work,
Marine,DOF
,Sierra
,Cyan
,Go Offshore
,AOS
,Programmed
,OSM
,Tidewater
Chemist,SGS
Drilling,Transocean (sedco forex)
,Valaris (Ensco
,Programmed
,OSM
,Baker Hughes
,Noble
Catering,ESS
,Entier
,Sodexo
,AOS
,Programmed
Surveyors,Fugro
Maintenance,Monadelphous
,Legeneering
,UGL
,Altrad
,Eris (Kuiper)
,Programmed
,Enemech
,Kaefer (ISOLOGIC)
Helicopters,PHI
,OSA
,CHC
,vertech
,Wood
,Lifeflight
ROV,DOF
,Oceaneering
,TMT
,Fugro
,AOS
,Programmed
,OSM
,Hjelix
,Reach
Construction,Eris (Kuiper)
,McDermott
,OSM
,AOS
,Programmed
Hookup/Commissioning,Monadelphous
,Programmed
,Legeneering
Decomm,UPS
,Eris (Kuiper)
,Programmed
,OSM
,MEA
,WPF(Duratech)
,GGC
