Location,Facility,Company,Role,scope,worker#,member#,EBA status,eba expiry,other unions?
Barrow,Gorgon Chevron,Chevron,Tier 1,,,,,,
Barrow,Gorgon Chevron,Altrad,,,,,,,
Barrow,Gorgon Chevron,UGL,,,,,,,
Barrow,Gorgon Chevron,Ventia,,,,,,,
Barrow,Gorgon Chevron,UGL - WA Oil,,,,,,,
Barrow,Gorgon Chevron,Downer,,,,,,,
Barrow,Gorgon Chevron,KBSS,,,,,,,
Barrow,Gorgon Chevron,Kaefer,,,,,,,
Barrow,Gorgon Chevron,Cleanaway,,,,,,,
Barrow,Gorgon Chevron,NESS Fircroft,,,,,,,
Barrow,Gorgon Chevron,Baker Hughes,,,,,,,
Barrow,Gorgon Chevron,Ertech,,,,,,,
Barrow,Gorgon Chevron,Powertech,,,,,,,
Barrow,Co2,Chevron,Tier 1,,,,,,
Barrow,Co2,powertech,,,,,,,
Barrow,Co2,UGL ,Construction,,,,,,
Barrow,Co2,ERTECH,Construction,,,,,,
Barrow,Co2,GRMS,,,,,,,
Barrow,JIC Construction,Chevron,Tier 1,,,,,,
Barrow,JIC Construction,ERTECH,,,,,,,
Barrow,JIC Construction,CRMS,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Onslow,Wheatstone,Chevron,Tier 1,,,,,,
Onslow,Wheatstone,Altrad,,,,,,,
Onslow,Wheatstone,UGL,,,,,,,
Onslow,Wheatstone,Ventia,,,,,,,
Onslow,Wheatstone,KBSS,,,,,,,
Onslow,Wheatstone,Cleanaway,,,,,,,
Onslow,Wheatstone,Downer,,,,,,,
Onslow,Wheatstone,Powertech,,,,,,,
Onslow,Wheatstone,Ertech,,,,,,,
,,,,,,,,,
Karratha,Woodside Gas Plant,Woodside,Tier 1,,,,,,
Karratha,Woodside Gas Plant,UGL,,,,,,,
Karratha,Woodside Gas Plant,Monadelphous,,,,,,,
Karratha,Woodside Gas Plant,APPLUS,,,,,,,
Karratha,,,,,,,,,
Karratha,Woodside Pluto 1,Woodside,Tier 1,,,,,,
Karratha,Woodside Pluto 1,UGL,construction,,,,,,
Karratha,Woodside Pluto 1,Monadelphous,construction,,,,,,
Karratha,,,,,,,,,
Karratha,Woodside Pluto 2,Bechtel,Construction,,,,,,
Karratha,Woodside Pluto 2,Monadelphous,Construction,,,,,,
Karratha,Woodside Pluto 2,KBSS,Construction,Labour Hire,,,,,
Karratha,Woodside Pluto 2,C2O,Construction,Labour Hire,,,,,
,,,,,,,,,
,,,,,,,,,
Dongarra,WAITSIA,,,,,,,,
,,,,,,,,,
Varanus Island,Santos Onshore,Santos,,,,,,,
Varanus Island,Santos Onshore,UGL,,,,,,,
Varanus Island,Santos Onshore,Duratech,,,,,,,
Varanus Island,Santos Onshore,Wilsons,,,,,,,
Varanus Island,Santos Offshore,Santos,,,,,,,
Varanus Island,Santos Offshore,UGL,,,,,,,
,,,,,,,,,
Darwin,Inpex,Inpex,,,,,,,
Darwin,Inpex,Monadelphous,,,,,,,
Darwin,DLNG,,,,,,,,
